x-axis,1
second,Volt
+0.0E+00,+1.51851E+00
+25.00E-03,+1.51408E+00
+50.00E-03,+1.51770E+00
+75.00E-03,+1.51534E+00
+100.00E-03,+1.51645E+00
+125.00E-03,+1.51599E+00
+150.00E-03,+1.51710E+00
+175.00E-03,+1.51408E+00
+200.00E-03,+1.51710E+00
+225.00E-03,+1.51444E+00
+250.00E-03,+1.51574E+00
+275.00E-03,+1.51408E+00
+300.00E-03,+1.51589E+00
+325.00E-03,+1.51504E+00
+350.00E-03,+1.51604E+00
+375.00E-03,+1.51499E+00
+400.00E-03,+1.51529E+00
+425.00E-03,+1.51348E+00
+450.00E-03,+1.51348E+00
+475.00E-03,+1.51243E+00
+500.00E-03,+1.51599E+00
+525.00E-03,+1.51358E+00
+550.00E-03,+1.51529E+00
+575.00E-03,+1.51308E+00
+600.00E-03,+1.51474E+00
+625.00E-03,+1.51223E+00
+650.00E-03,+1.51519E+00
+675.00E-03,+1.51343E+00
+700.00E-03,+1.51419E+00
+725.00E-03,+1.51212E+00
+750.00E-03,+1.51499E+00
+775.00E-03,+1.51353E+00
+800.00E-03,+1.51539E+00
+825.00E-03,+1.51328E+00
+850.00E-03,+1.51559E+00
+875.00E-03,+1.51273E+00
+900.00E-03,+1.51504E+00
+925.00E-03,+1.51233E+00
+950.00E-03,+1.51675E+00
+975.00E-03,+1.51217E+00
+1.00000E+00,+1.51625E+00
+1.02500E+00,+1.51293E+00
+1.05000E+00,+1.51509E+00
+1.07500E+00,+1.51363E+00
+1.10000E+00,+1.51700E+00
+1.12500E+00,+1.51197E+00
+1.15000E+00,+1.51589E+00
+1.17500E+00,+1.51348E+00
+1.20000E+00,+1.51519E+00
+1.22500E+00,+1.51368E+00
+1.25000E+00,+1.51599E+00
+1.27500E+00,+1.51072E+00
+1.30000E+00,+1.51604E+00
+1.32500E+00,+1.51348E+00
+1.35000E+00,+1.51383E+00
+1.37500E+00,+1.51373E+00
+1.40000E+00,+1.51589E+00
+1.42500E+00,+1.51268E+00
+1.45000E+00,+1.51529E+00
+1.47500E+00,+1.51459E+00
+1.50000E+00,+1.51348E+00
+1.52500E+00,+1.51378E+00
+1.55000E+00,+1.51589E+00
+1.57500E+00,+1.51253E+00
+1.60000E+00,+1.51539E+00
+1.62500E+00,+1.51348E+00
+1.65000E+00,+1.51474E+00
+1.67500E+00,+1.51383E+00
+1.70000E+00,+1.51363E+00
+1.72500E+00,+1.51238E+00
+1.75000E+00,+1.51650E+00
+1.77500E+00,+1.51303E+00
+1.80000E+00,+1.51474E+00
+1.82500E+00,+1.51348E+00
+1.85000E+00,+1.51368E+00
+1.87500E+00,+1.51223E+00
+1.90000E+00,+1.51665E+00
+1.92500E+00,+1.51348E+00
+1.95000E+00,+1.51474E+00
+1.97500E+00,+1.51429E+00
+2.00000E+00,+1.51499E+00
+2.02500E+00,+1.51343E+00
+2.05000E+00,+1.51569E+00
+2.07500E+00,+1.51419E+00
+2.10000E+00,+1.51559E+00
+2.12500E+00,+1.51424E+00
+2.15000E+00,+1.51569E+00
+2.17500E+00,+1.51348E+00
+2.20000E+00,+1.51579E+00
+2.22500E+00,+1.51378E+00
+2.25000E+00,+1.51398E+00
+2.27500E+00,+1.51348E+00
+2.30000E+00,+1.51599E+00
+2.32500E+00,+1.51333E+00
+2.35000E+00,+1.51589E+00
+2.37500E+00,+1.51298E+00
+2.40000E+00,+1.51303E+00
+2.42500E+00,+1.51353E+00
+2.45000E+00,+1.51388E+00
+2.47500E+00,+1.51308E+00
+2.50000E+00,+1.51348E+00
+2.52500E+00,+1.51263E+00
+2.55000E+00,+1.51439E+00
+2.57500E+00,+1.51278E+00
+2.60000E+00,+1.51393E+00
+2.62500E+00,+1.51223E+00
+2.65000E+00,+1.51348E+00
+2.67500E+00,+1.51268E+00
+2.70000E+00,+1.51388E+00
+2.72500E+00,+1.51192E+00
+2.75000E+00,+1.51197E+00
+2.77500E+00,+1.51127E+00
+2.80000E+00,+1.51338E+00
+2.82500E+00,+1.51253E+00
+2.85000E+00,+1.51730E+00
+2.87500E+00,+1.52077E+00
+2.90000E+00,+1.52212E+00
+2.92500E+00,+1.52444E+00
+2.95000E+00,+1.52730E+00
+2.97500E+00,+1.52986E+00
+3.00000E+00,+1.53735E+00
+3.02500E+00,+1.54534E+00
+3.05000E+00,+1.55800E+00
+3.07500E+00,+1.56544E+00
+3.10000E+00,+1.57544E+00
+3.12500E+00,+1.58258E+00
+3.15000E+00,+1.59625E+00
+3.17500E+00,+1.61062E+00
+3.20000E+00,+1.62358E+00
+3.22500E+00,+1.64037E+00
+3.25000E+00,+1.65620E+00
+3.27500E+00,+1.67429E+00
+3.30000E+00,+1.68594E+00
+3.32500E+00,+1.70499E+00
+3.35000E+00,+1.72288E+00
+3.37500E+00,+1.73810E+00
+3.40000E+00,+1.75589E+00
+3.42500E+00,+1.76861E+00
+3.45000E+00,+1.78790E+00
+3.47500E+00,+1.79931E+00
+3.50000E+00,+1.81424E+00
+3.52500E+00,+1.82921E+00
+3.55000E+00,+1.84403E+00
+3.57500E+00,+1.86082E+00
+3.60000E+00,+1.87881E+00
+3.62500E+00,+1.88735E+00
+3.65000E+00,+1.90408E+00
+3.67500E+00,+1.91419E+00
+3.70000E+00,+1.92710E+00
+3.72500E+00,+1.94941E+00
+3.75000E+00,+1.96197E+00
+3.77500E+00,+1.96534E+00
+3.80000E+00,+1.97670E+00
+3.82500E+00,+1.98966E+00
+3.85000E+00,+1.99645E+00
+3.87500E+00,+2.00494E+00
+3.90000E+00,+2.01223E+00
